GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shopping-cart,example.shoppingcart.service,CartService,94,0,6,0,28,0,6,0,3,0
shopping-cart,example.shoppingcart.service,LocalizationService,41,0,2,0,13,0,3,0,2,0
shopping-cart,example.shoppingcart,ShoppingCart,115,31,6,2,27,5,7,3,3,2
shopping-cart,example.shoppingcart,MainApp,49,0,0,0,13,0,2,0,2,0
shopping-cart,example.shoppingcart,ShoppingCartController,199,0,4,0,41,0,8,0,6,0
shopping-cart,example.shoppingcart.db,DatabaseConnection,42,0,2,0,16,0,4,0,3,0
